[3/5/2025, 5:49:55 PM] ACTION: CLICK, UserName: communications@shivalikbank.com, POLICY_ID: har.pdf
[3/5/2025, 5:49:55 PM] ACTION: DOWNLOAD, UserName: communications@shivalikbank.com, POLICY_ID: har.pdf
[3/5/2025, 5:49:55 PM] ACTION: CLICK, UserName: communications@shivalikbank.com, POLICY_ID: har.pdf
[3/5/2025, 5:49:55 PM] ACTION: DOWNLOAD, UserName: communications@shivalikbank.com, POLICY_ID: har.pdf
2025-03-05 17:49:55 | DOWNLOAD | unknown_user | har.pdf | IP: ::1 | Status: SUCCESS
[3/5/2025, 5:51:59 PM] ACTION: CLICK, UserName: unknown_user, POLICY_ID: har.pdf
[3/5/2025, 5:51:59 PM] ACTION: CLICK, UserName: unknown_user, POLICY_ID: har.pdf
[3/5/2025, 5:53:48 PM] ACTION: CLICK, UserName: unknown_user, POLICY_ID: har.pdf
[3/5/2025, 5:53:48 PM] ACTION: CLICK, UserName: unknown_user, POLICY_ID: har.pdf
[3/5/2025, 5:54:52 PM] ACTION: CLICK, UserName: unknown_user, POLICY_ID: har.pdf
[3/5/2025, 5:54:52 PM] ACTION: CLICK, UserName: unknown_user, POLICY_ID: har.pdf
[3/5/2025, 5:57:34 PM] ACTION: CLICK, UserName: unknown_user, POLICY_ID: har.pdf
[3/5/2025, 5:57:34 PM] ACTION: CLICK, UserName: unknown_user, POLICY_ID: har.pdf
[3/5/2025, 5:58:17 PM] ACTION: CLICK, UserName: unknown_user, POLICY_ID: har.pdf
[3/5/2025, 5:58:17 PM] ACTION: CLICK, UserName: unknown_user, POLICY_ID: har.pdf
[3/5/2025, 7:03:22 PM] ACTION: CLICK, UserName: unknown_user, POLICY_ID: har.pdf
[3/5/2025, 7:03:22 PM] ACTION: DOWNLOAD, UserName: unknown_user, POLICY_ID: har.pdf
[3/5/2025, 7:03:22 PM] ACTION: CLICK, UserName: unknown_user, POLICY_ID: har.pdf
[3/5/2025, 7:03:22 PM] ACTION: DOWNLOAD, UserName: unknown_user, POLICY_ID: har.pdf
2025-03-05 19:03:22 | DOWNLOAD | unknown_user | har.pdf | IP: ::1 | Status: SUCCESS
[3/6/2025, 12:48:02 PM] ACTION: CLICK, UserName: unknown_user, POLICY_ID: har.pdf
[3/6/2025, 12:48:02 PM] ACTION: CLICK, UserName: unknown_user, POLICY_ID: har.pdf
[3/6/2025, 12:54:05 PM] ACTION: CLICK, UserName: unknown_user, POLICY_ID: har.pdf
[3/6/2025, 12:54:05 PM] ACTION: CLICK, UserName: unknown_user, POLICY_ID: har.pdf
[3/6/2025, 1:00:44 PM] ACTION: CLICK, UserName: unknown_user, POLICY_ID: har.pdf,User_ID: undefined
[3/6/2025, 1:00:44 PM] ACTION: CLICK, UserName: unknown_user, POLICY_ID: har.pdf,User_ID: undefined
[3/6/2025, 1:03:16 PM] ACTION: CLICK, UserName: unknown_user, POLICY_ID: har.pdf
[3/6/2025, 1:03:16 PM] ACTION: CLICK, UserName: unknown_user, POLICY_ID: har.pdf
[3/6/2025, 1:17:57 PM] ACTION: CLICK, UserName: unknown_user, POLICY_ID: har.pdf
[3/6/2025, 1:17:57 PM] ACTION: CLICK, UserName: unknown_user, POLICY_ID: har.pdf
[3/6/2025, 1:24:43 PM] ACTION: CLICK, UserName: unknown_user, POLICY_ID: har.pdf
[3/6/2025, 1:24:43 PM] ACTION: CLICK, UserName: unknown_user, POLICY_ID: har.pdf
[3/6/2025, 1:28:56 PM] ACTION: CLICK, UserName: unknown_user, POLICY_ID: har.pdf
[3/6/2025, 1:28:56 PM] ACTION: CLICK, UserName: unknown_user, POLICY_ID: har.pdf
[3/6/2025, 1:33:04 PM] ACTION: CLICK, UserName: unknown_user, POLICY_ID: har.pdf
[3/6/2025, 1:33:04 PM] ACTION: CLICK, UserName: unknown_user, POLICY_ID: har.pdf
[3/6/2025, 1:34:07 PM] ACTION: CLICK, UserName: unknown_user, POLICY_ID: har.pdf
[3/6/2025, 1:34:07 PM] ACTION: CLICK, UserName: unknown_user, POLICY_ID: har.pdf
[3/6/2025, 1:38:13 PM] ACTION: CLICK, UserName: unknown_user, POLICY_ID: har.pdf
[3/6/2025, 1:38:13 PM] ACTION: CLICK, UserName: unknown_user, POLICY_ID: har.pdf
[3/6/2025, 1:39:41 PM] ACTION: CLICK, UserName: unknown_user, POLICY_ID: har.pdf
[3/6/2025, 1:39:41 PM] ACTION: CLICK, UserName: unknown_user, POLICY_ID: har.pdf
[3/6/2025, 1:41:45 PM] ACTION: CLICK, UserName: unknown_user, POLICY_ID: har.pdf
[3/6/2025, 1:41:45 PM] ACTION: CLICK, UserName: unknown_user, POLICY_ID: har.pdf
[3/6/2025, 2:44:22 PM] ACTION: CLICK, UserName: unknown_user, POLICY_ID: har.pdf
[3/6/2025, 2:44:22 PM] ACTION: CLICK, UserName: unknown_user, POLICY_ID: har.pdf
[3/6/2025, 2:52:15 PM] ACTION: CLICK, UserName: unknown_user, POLICY_ID: har.pdf
[3/6/2025, 2:52:15 PM] ACTION: CLICK, UserName: unknown_user, POLICY_ID: har.pdf
[3/6/2025, 3:47:43 PM] ACTION: CLICK, UserName: unknown_user, POLICY_ID: har.pdf
[3/6/2025, 3:47:43 PM] ACTION: CLICK, UserName: unknown_user, POLICY_ID: har.pdf
[3/6/2025, 3:50:39 PM] ACTION: CLICK, UserName: unknown_user, POLICY_ID: har.pdf
[3/6/2025, 3:50:39 PM] ACTION: CLICK, UserName: unknown_user, POLICY_ID: har.pdf
[3/6/2025, 3:59:15 PM] ACTION: LOGIN, UserName: [object Object], POLICY_ID: Success - Logged In
[3/6/2025, 3:59:15 PM] ACTION: LOGIN, UserName: [object Object], POLICY_ID: Success - Logged In
[3/6/2025, 3:59:19 PM] ACTION: CLICK, UserName: communications@shivalikbank.com, POLICY_ID: har.pdf
[3/6/2025, 3:59:19 PM] ACTION: DOWNLOAD, UserName: communications@shivalikbank.com, POLICY_ID: har.pdf
